CODE;Descrizione;UM;Depos;Codice-Deposito;Linea;Consumi dal 01/01/19 al 04/02/20;QTY;COST;Totale;Note;;
2121073;629071 LICHTLEITER LI DAG X253;Pz;18;212107318;PFAuto;11760;1600;0,19019; 304,30 ;;;
2116287;MOZZO RTA PLANET GRIGIO;Pz;18;211628718;SLRoller;11861;2047;0,15041; 307,89 ;;;
2121005;103060446 COCLEA SX PP V0 NATU;Pz;18;212100518;PF;11874;690;1,91501; 1321,36 ;;;
2121004;103060445 COCLEA DX PP V0 NATU;Pz;18;212100418;PF;11994;690;1,84261; 1271,40 ;;;
2120082;7433375-00 VENTILATORBUEGEL;Pz;18;212008218;PF;12000;1750;0,20335; 355,86 ;;;
2121320;03797010-B CORPO 3STOP C167;Pz;18;212132018;PFAuto;12044;3024;0,69988; 2116,44 ;;;
2120615;0C004069AB CARTER PROTEZIONE;Pz;18;212061518;SL;12115;3888;0,43242; 1681,25 ;;;
2120614;0C004052AB COPERCHIO INFERIORE;Pz;18;212061418;SL;12133;4108;0,70139; 2881,31 ;;;
2120877;7436289-01 TUERVERLAENGERUNG;Pz;18;212087718;PF;12281;441;1,07398; 473,63 ;;;
2121313;03797020-B EXTER L da pell;Pz;18;212131318;SLAuto;12345;54;1,7015; 91,88 ;;;
2120647;20679011*PARATIA SX T1 MASERAT;Pz;18;212064718;PFAuto;12384;3348;0,53782; 1800,62 ;;;
2120646;20678011*PARATIA DX T1 MASERAT;Pz;18;212064618;PFAuto;12450;3366;0,53781; 1810,27 ;;;
2120648;20688008 PARATIA DX T2 MASERAT;Pz;18;212064818;PFAuto;12464;960;0,22546; 216,44 ;;;
2120185;7433097-00 DEKORELGIALda ser;Pz;5;21201855;SL;12479;528;2,08322; 1099,94 ;;;
2120185;7433097-00 DEKORELGIALda ser;Pz;18;212018518;SL;12479;198;2,08394; 412,62 ;;;
2120185;7433097-00 DEKORELGIALda ser;Pz;415;2120185415;SL;12479;57;2,08394; 118,78 ;;;
2120649;20689008 PARATIA SX T2 MASERAT;Pz;18;212064918;PFAuto;12536;960;0,22726; 218,17 ;;;
2120186;7433099-00 DEKORELGIALda ser;Pz;18;212018618;SL;12557;396;2,08462; 825,51 ;;;
2120186;7433099-00 DEKORELGIALda ser;Pz;415;2120186415;SL;12557;10;2,08462; 20,85 ;;;
2120045;21319002 CORPO SX A316 T1 Q3;Pz;18;212004518;PFAuto;12624;528;0,90447; 477,56 ;;;
2120044;21318002 CORPO DX A316 T1 Q3;Pz;18;212004418;PFAuto;12624;528;0,90321; 476,89 ;;;
2121133;BN1489310 TAPPO FORO;Pz;18;212113318;PF;12830;4000;0,13585; 543,40 ;;;
2120431;7436207-00 GLASTUERRAHMEN NERO;Pz;18;212043118;SL;12891;534;1,67182; 892,75 ;;;
2116765;7427571-00 ABDECKUNG b;Pz;18;211676518;PF;13015;390;0,40067; 156,26 ;;;
1117333;7436207-00 GLASTUERRAHMEN NERO;Pz;18;111733318;PF;13030;28;2,64119; 73,95 ;;;
2120539;7436017-00 GLASTUERRAHMEN NERO;Pz;18;212053918;SL;13100;1304;1,67575; 2185,18 ;;;
1117335;7436017-00 GLASTUERRAHMEN NERO;Pz;18;111733518;PF;13132;12;2,64275; 31,71 ;;;
1117362;T0000829AB ASSIEME PANNELLO;Pz;18;111736218;PF;13584;1008;1,80857; 1823,04 ;;;
2121080;7439321-00 FRONTGEHAEUSE BIANC;Pz;18;212108018;SL;14049;660;1,26655; 835,92 ;;;
2120146;0C001171AB POGGIAP SX RUN JOG;Pz;18;212014618;SL;14066;984;4,23924; 4171,41 ;;;
2120861;0C004550AA CARTER 2K a;Pz;18;212086118;PF;14210;1190;0,42954; 511,15 ;;;
2120860;0C004548AA CARTER 2K b;Pz;18;212086018;PF;14280;2030;0,42808; 869,00 ;;;
2121006;103060479 COPERCHIO SEDE CONN;Pz;18;212100618;PF;14400;3200;0,08687; 277,98 ;;;
1117131;0C003312AA-GG ASSPOGG DX JOG;Pz;18;111713118;PF;14520;192;5,44694; 1045,81 ;;;
2120857;0U000716AA-NR PULEGGIA;Pz;18;212085718;PF;14652;299;1,54712; 462,59 ;;;
2120145;0C001172AB POGGIAP DX RUN JOG;Pz;18;212014518;SL;14692;1595;4,22887; 6745,05 ;;;
2120195;7424379-01G SCHLOBHALTER GRIG;Pz;18;212019518;PF;15000;3000;0,04854; 145,62 ;;;
2120698;7435207-00 DECKEL F GEHAUSE;Pz;18;212069818;PF;15054;434;1,13852; 494,12 ;;;
2120859;0C004525AA BOCCOLA a;Pz;18;212085918;PF;15106;2176;0,32624; 709,90 ;;;
2400874;A4638881100 LUFTLEITLAMELLE LI;Pz;18;240087418;PFAuto;15136;32;2,94733; 94,31 ;;;
2121214;A4638881100 LUFTLEITLAMELLE LI;Pz;18;212121418;SLAuto;15141;1600;2,62434; 4198,94 ;;;
